drug_ingredient,has_inn,buzz_count,source_regions,company,trend_tags,flags,articles_json,latest_date
Apixaban,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Apixaban"", ""summary"": ""Prevention of venous thromboembolic events (VTE), stroke and systemic embolism; treatment of deep vein thrombosis (DVT) and pulmonary embolism (PE) in adults. Treatment of VTE in children from 28 days to < 18 years of age."", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Arimoclomol,True,1,EU-EMA,,📈 新進觀察標的,孤兒藥,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Arimoclomol"", ""summary"": ""Treatment of Niemann-Pick disease type C (NPC) in patients aged 6 months and older in combination with miglustat"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Asundexian,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Asundexian"", ""summary"": ""Prevention of ischaemic stroke in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Azacitidine,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Azacitidine"", ""summary"": ""Treatment of myelodysplastic syndromes (MDS), chronic myelomonocytic leukemia (CMML) and acute myeloid leukemia (AML)"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Baxdrostat,True,1,EU-EMA,ASTRAZENECA AB,📈 新進觀察標的,臨床 三期,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Baxdrostat"", ""summary"": ""Treatment of hypertension in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Bepirovirsen,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Bepirovirsen"", ""summary"": ""Treatment of chronic hepatitis B virus (HBV) infection in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Catequentinib,True,1,EU-EMA,,📈 新進觀察標的,孤兒藥,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Catequentinib"", ""summary"": ""Treatment of synovial sarcoma or leiomyosarcoma"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Cefepime / Zidebactam,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Cefepime / Zidebactam"", ""summary"": ""Treatment of a number of infections in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Cemdisiran,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Cemdisiran"", ""summary"": ""Treatment of generalised myasthenia gravis in adult patients"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Cladribine,True,1,EU-EMA,,📈 新進觀察標的,孤兒藥,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Cladribine"", ""summary"": ""Treatment of acute myeloid leukaemia (AML) in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Cosibelimab,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Cosibelimab"", ""summary"": ""Treatment of adult patients with metastatic or locally advanced cutaneous squamous cell carcinoma"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Denecimig,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Denecimig"", ""summary"": ""Prophylaxis of bleeding episodes in patients with haemophilia A"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Deuruxolitinib,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Deuruxolitinib"", ""summary"": ""Treatment of severe alopecia areata in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Doravirine / Islatravir,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Doravirine / Islatravir"", ""summary"": ""Treatment of HIV-1 infection in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Emapalumab,True,1,EU-EMA,,📈 新進觀察標的,孤兒藥,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Emapalumab"", ""summary"": ""Treatment of acute or recurrent secondary haemophagocytic lymphohistiocytosis (sHLH) in adult and paediatric patients (6 months and older)"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Enlicitide,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Enlicitide"", ""summary"": ""Indicated in adults with primary hypercholesterolaemia or mixed dyslipidaemia"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Ensartinib,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Ensartinib"", ""summary"": ""The treatment of adult patients with anaplastic lymphoma kinase (ALK)-positive advanced non-small cell lung cancer (NSCLC)."", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Ensitrelvir,True,1,EU-EMA,SHIONOGI,📈 新進觀察標的,臨床 三期,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Ensitrelvir"", ""summary"": ""Treatment of coronavirus disease 2019 (COVID-19)"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Etripamil,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Etripamil"", ""summary"": ""Indicated for the rapid conversion of paroxysmal supraventricular tachycardia (PSVT) episodes to sinus rhythm in adults."", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Fondaparinux sodium,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Fondaparinux sodium"", ""summary"": ""Prevention of venous thromboembolic events (VTE), treatment of deep vein thrombosis (DVT), treatment of pulmonary embolism, treatment of unstable angina and myocardial infarction in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Gadoquatrane,True,1,EU-EMA,BAYER HEALTHCARE,📈 新進觀察標的,臨床 三期,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Gadoquatrane"", ""summary"": ""For contrast enhancement in magnetic resonance imaging (MRI) used for adults and paediatric patients of all ages."", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Garetosmab,True,1,EU-EMA,,📈 新進觀察標的,孤兒藥,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Garetosmab"", ""summary"": ""Treatment of adult patients with fibrodysplasia ossificans progressiva (FOP)"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Gefurulimab,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Gefurulimab"", ""summary"": ""Treatment of adult patients with generalised myasthemia gravis (gMG)"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Glepaglutide,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Glepaglutide"", ""summary"": ""Treatment of adults with Short Bowel Syndrome"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Hexaminolevulinate,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Hexaminolevulinate"", ""summary"": ""Treatment of adult patients with histologically confirmed cervical high-grade squamous intraepithelial lesions (HSIL)"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Ianalumab,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Ianalumab"", ""summary"": ""Treatment of Sjögren’s disease in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Icotrokinra,True,1,EU-EMA,JANSSEN BIOTECH,📈 新進觀察標的,臨床 三期,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Icotrokinra"", ""summary"": ""Treatment of plaque psoriasis in adults and adolescents 12 years or older"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Influenza mRNA vaccine,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Influenza mRNA vaccine"", ""summary"": ""Immunisation for the prevention of influenza disease in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Insulin aspart,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Insulin aspart"", ""summary"": ""Treatment of diabetes mellitus from 1 year of age"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Japanese Encephalitis Chimeric Vaccine Substipharm,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Japanese Encephalitis Chimeric Vaccine Substipharm"", ""summary"": ""Immunisation against Japanese encephalitis in adults, adolescents, children and infants aged 9 months and older"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Leriglitazone,True,1,EU-EMA,,📈 新進觀察標的,孤兒藥,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Leriglitazone"", ""summary"": ""Treatment of adrenoleukodystrophy"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Lerodalcibep,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Lerodalcibep"", ""summary"": ""Is indicated in adults with primary hypercholesterolaemia (heterozygous familial (HeFH) and non-familial) or mixed dyslipidaemia as an adjunct to diet."", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Linerixibat,True,1,EU-EMA,INTERCEPT,📈 新進觀察標的,孤兒藥 / 臨床 三期,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Linerixibat"", ""summary"": ""Treatment of cholestatic pruritus in adult patients with primary biliary cholangitis"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Lunsotogene parvec,True,1,EU-EMA,,📈 新進觀察標的,孤兒藥 / 加速審查,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Lunsotogene parvec"", ""summary"": ""Treatment of biallelic OTOF variant-associated hearing loss in adults and children"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Mezigdomide,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Mezigdomide"", ""summary"": ""Treatment of relapsed or refractory multiple myeloma in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Molgramostim,True,1,EU-EMA,,📈 新進觀察標的,孤兒藥,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Molgramostim"", ""summary"": ""Treatment of pulmonary alveolar proteinosis in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Navepegritide,True,1,EU-EMA,ASCENDIS,📈 新進觀察標的,孤兒藥 / 臨床 三期,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Navepegritide"", ""summary"": ""Treatment of achondroplasia in children"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Norucholic acid,True,1,EU-EMA,,📈 新進觀察標的,孤兒藥,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Norucholic acid"", ""summary"": ""Treatment of primary sclerosing cholangitis (PSC) in adults."", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Obicetrapib,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Obicetrapib"", ""summary"": ""Treatment of primary hypercholesterolaemia or mixed dyslipidaemia"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Obicetrapib / Ezetimibe,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Obicetrapib / Ezetimibe"", ""summary"": ""Treatment of primary hypercholesterolaemia or mixed dyslipidaemia"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Olanzapine,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Olanzapine"", ""summary"": ""Treatment of schizophrenia in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Omalizumab,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Omalizumab"", ""summary"": ""Treatment of asthma, chronic rhinosinusitis with nasal polyps (CRSwNP) and chronic spontaneous urticaria (CSU)"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Orforglipron,True,1,EU-EMA,ELI LILLY AND CO,📈 新進觀察標的,臨床 四期,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Orforglipron"", ""summary"": ""Treatment of obesity and type 2 diabetes mellitus in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Pegfilgrastim,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Pegfilgrastim"", ""summary"": ""Reduction of neutropenia in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Pertuzumab,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Pertuzumab"", ""summary"": ""Treatment of breast cancer in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Pimicotinib,True,1,EU-EMA,,📈 新進觀察標的,孤兒藥 / PRIME,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Pimicotinib"", ""summary"": ""Treatment of tenosynovial giant cell tumour in adults and adolescents from 12 years of age"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Ponatinib,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Ponatinib"", ""summary"": ""Treatment of chronic myeloid leukaemia (CML) or Philadelphia chromosome positive acute lymphoblastic leukaemia (Ph+ ALL) in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Povorcitinib,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Povorcitinib"", ""summary"": ""Treatment of active moderate to severe hidradenitis suppurativa (acne inversa) in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Rabies vaccine for human use prepared in cell cultures,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Rabies vaccine for human use prepared in cell cultures"", ""summary"": ""Pre-exposure and post-exposure prophylaxis against rabies in all age groups"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Ranibizumab,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Ranibizumab"", ""summary"": ""Treatment of adults with neovascular (wet) age-related macular degeneration (AMD)"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Regadenoson,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Regadenoson"", ""summary"": ""Pharmacological stress agent for myocardial perfusion imaging (MPI) and measurement of fractional flow reserve (FFR) in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Relacorilant,True,1,EU-EMA,CORCEPT THERAP,📈 新進觀察標的,孤兒藥 / 臨床 三期,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Relacorilant"", ""summary"": ""Treatment of adult patients with platinum-resistant epithelial ovarian, fallopian tube, or primary peritoneal cancer"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Rezvilutamide,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Rezvilutamide"", ""summary"": ""Treatment of high-volume metastatic hormone-sensitive prostate cancer (mHSPC) in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Riociguat,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Riociguat"", ""summary"": ""Treatment of Chronic thromboembolic pulmonary hypertension (CTEPH) in adults and treatment of Pulmonary arterial hypertension (PAH) in adults and children from 6 years of age"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Ruxolitinib,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Ruxolitinib"", ""summary"": ""Treatment of myelofibrosis (MF), polycythaemia vera (PV) and Graft versus host disease (GvHD)"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Semaglutide,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Semaglutide"", ""summary"": ""Treatment of type 2 diabetes in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Senaparib,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Senaparib"", ""summary"": ""Maintenance treatment of advanced epithelial high-grade ovarian, fallopian tube or primary peritoneal cancer"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
