drug_ingredient,has_inn,brand,company,indication,flags,source_regions,latest_date,gap_code,gap_label,foreign_stages_json,taiwan_stages_json,gap_json,news_json,articles_json
Cemdisiran,True,,,Treatment of generalised myasthenia gravis in adult patients,,EU-EMA,2026-08-04,foreign_review_tw_pending,⏳ 國外審查中 ｜ 台灣未送件,"{""stages"": [{""id"": ""foreign-1"", ""reached"": true, ""label"": ""實證文獻"", ""title"": ""臨床實證已登錄"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/?term=Cemdisiran+AND+(Phase+3+OR+%22Phase+III%22+OR+%22clinical+trial%22)+AND+(%22last+1+years%22%5BPDat%5D)"", ""temp_class"": ""temp-blue""}, {""id"": ""foreign-2"", ""reached"": true, ""label"": ""國外審查"", ""title"": ""EMA 審查中"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""temp_class"": ""temp-amber""}, {""id"": ""foreign-3"", ""reached"": false, ""label"": ""國外核准"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov/drugs/development-approval-process-drugs/novel-drug-approvals-fda"", ""temp_class"": ""temp-red""}], ""active_count"": 2, ""highest_title"": ""EMA 審查中""}","{""stages"": [{""id"": ""tw-1"", ""reached"": false, ""label"": ""台灣審查"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/siteSearch.aspx?q=Cemdisiran"", ""temp_class"": ""temp-blue""}, {""id"": ""tw-2"", ""reached"": false, ""label"": ""取得藥證"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712"", ""temp_class"": ""temp-teal""}, {""id"": ""tw-3"", ""reached"": false, ""label"": ""核准健保給付"", ""title"": ""尚未出現"", ""url"": ""https://www.nhi.gov.tw/ch/cp-1296-1c080-3269-1.html"", ""temp_class"": ""temp-red""}], ""active_count"": 0, ""license_no"": """", ""highest_title"": ""尚未出現""}","{""code"": ""foreign_review_tw_pending"", ""label"": ""⏳ 國外審查中 ｜ 台灣未送件"", ""badge_class"": ""badge-gap-warning"", ""desc"": ""國外 EMA / FDA 審查進行中，台灣尚未有公開申請紀錄""}",[],"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Cemdisiran"", ""summary"": ""Treatment of generalised myasthenia gravis in adult patients"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04"", ""extras"": {""kind"": ""under_evaluation"", ""snapshot"": true, ""orphan"": false, ""prime"": false, ""accelerated"": false, ""ema_product_no"": ""EMEA/H/C/006877""}}]"
Cladribine,True,,,Treatment of acute myeloid leukaemia (AML) in adults,孤兒藥,EU-EMA,2026-08-04,foreign_review_tw_pending,⏳ 國外審查中 ｜ 台灣未送件,"{""stages"": [{""id"": ""foreign-1"", ""reached"": true, ""label"": ""實證文獻"", ""title"": ""臨床實證已登錄"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/?term=Cladribine+AND+(Phase+3+OR+%22Phase+III%22+OR+%22clinical+trial%22)+AND+(%22last+1+years%22%5BPDat%5D)"", ""temp_class"": ""temp-blue""}, {""id"": ""foreign-2"", ""reached"": true, ""label"": ""國外審查"", ""title"": ""孤兒藥"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""temp_class"": ""temp-amber""}, {""id"": ""foreign-3"", ""reached"": false, ""label"": ""國外核准"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov/drugs/development-approval-process-drugs/novel-drug-approvals-fda"", ""temp_class"": ""temp-red""}], ""active_count"": 2, ""highest_title"": ""孤兒藥""}","{""stages"": [{""id"": ""tw-1"", ""reached"": false, ""label"": ""台灣審查"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/siteSearch.aspx?q=Cladribine"", ""temp_class"": ""temp-blue""}, {""id"": ""tw-2"", ""reached"": false, ""label"": ""取得藥證"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712"", ""temp_class"": ""temp-teal""}, {""id"": ""tw-3"", ""reached"": false, ""label"": ""核准健保給付"", ""title"": ""尚未出現"", ""url"": ""https://www.nhi.gov.tw/ch/cp-1296-1c080-3269-1.html"", ""temp_class"": ""temp-red""}], ""active_count"": 0, ""license_no"": """", ""highest_title"": ""尚未出現""}","{""code"": ""foreign_review_tw_pending"", ""label"": ""⏳ 國外審查中 ｜ 台灣未送件"", ""badge_class"": ""badge-gap-warning"", ""desc"": ""國外 EMA / FDA 審查進行中，台灣尚未有公開申請紀錄""}",[],"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Cladribine"", ""summary"": ""Treatment of acute myeloid leukaemia (AML) in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04"", ""extras"": {""kind"": ""under_evaluation"", ""snapshot"": true, ""orphan"": true, ""prime"": false, ""accelerated"": false, ""ema_product_no"": ""EMEA/H/C/006825""}}]"
Cosibelimab,True,,,Treatment of adult patients with metastatic or locally advanced cutaneous squamous cell carcinoma,,EU-EMA,2026-08-04,foreign_review_tw_pending,⏳ 國外審查中 ｜ 台灣未送件,"{""stages"": [{""id"": ""foreign-1"", ""reached"": true, ""label"": ""實證文獻"", ""title"": ""臨床實證已登錄"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/?term=Cosibelimab+AND+(Phase+3+OR+%22Phase+III%22+OR+%22clinical+trial%22)+AND+(%22last+1+years%22%5BPDat%5D)"", ""temp_class"": ""temp-blue""}, {""id"": ""foreign-2"", ""reached"": true, ""label"": ""國外審查"", ""title"": ""EMA 審查中"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""temp_class"": ""temp-amber""}, {""id"": ""foreign-3"", ""reached"": false, ""label"": ""國外核准"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov/drugs/development-approval-process-drugs/novel-drug-approvals-fda"", ""temp_class"": ""temp-red""}], ""active_count"": 2, ""highest_title"": ""EMA 審查中""}","{""stages"": [{""id"": ""tw-1"", ""reached"": false, ""label"": ""台灣審查"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/siteSearch.aspx?q=Cosibelimab"", ""temp_class"": ""temp-blue""}, {""id"": ""tw-2"", ""reached"": false, ""label"": ""取得藥證"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712"", ""temp_class"": ""temp-teal""}, {""id"": ""tw-3"", ""reached"": false, ""label"": ""核准健保給付"", ""title"": ""尚未出現"", ""url"": ""https://www.nhi.gov.tw/ch/cp-1296-1c080-3269-1.html"", ""temp_class"": ""temp-red""}], ""active_count"": 0, ""license_no"": """", ""highest_title"": ""尚未出現""}","{""code"": ""foreign_review_tw_pending"", ""label"": ""⏳ 國外審查中 ｜ 台灣未送件"", ""badge_class"": ""badge-gap-warning"", ""desc"": ""國外 EMA / FDA 審查進行中，台灣尚未有公開申請紀錄""}",[],"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Cosibelimab"", ""summary"": ""Treatment of adult patients with metastatic or locally advanced cutaneous squamous cell carcinoma"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04"", ""extras"": {""kind"": ""under_evaluation"", ""snapshot"": true, ""orphan"": false, ""prime"": false, ""accelerated"": false, ""ema_product_no"": ""EMEA/H/C/006880""}}]"
Denecimig,True,,,Prophylaxis of bleeding episodes in patients with haemophilia A,,EU-EMA,2026-08-04,foreign_review_tw_pending,⏳ 國外審查中 ｜ 台灣未送件,"{""stages"": [{""id"": ""foreign-1"", ""reached"": true, ""label"": ""實證文獻"", ""title"": ""臨床實證已登錄"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/?term=Denecimig+AND+(Phase+3+OR+%22Phase+III%22+OR+%22clinical+trial%22)+AND+(%22last+1+years%22%5BPDat%5D)"", ""temp_class"": ""temp-blue""}, {""id"": ""foreign-2"", ""reached"": true, ""label"": ""國外審查"", ""title"": ""EMA 審查中"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""temp_class"": ""temp-amber""}, {""id"": ""foreign-3"", ""reached"": false, ""label"": ""國外核准"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov/drugs/development-approval-process-drugs/novel-drug-approvals-fda"", ""temp_class"": ""temp-red""}], ""active_count"": 2, ""highest_title"": ""EMA 審查中""}","{""stages"": [{""id"": ""tw-1"", ""reached"": false, ""label"": ""台灣審查"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/siteSearch.aspx?q=Denecimig"", ""temp_class"": ""temp-blue""}, {""id"": ""tw-2"", ""reached"": false, ""label"": ""取得藥證"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712"", ""temp_class"": ""temp-teal""}, {""id"": ""tw-3"", ""reached"": false, ""label"": ""核准健保給付"", ""title"": ""尚未出現"", ""url"": ""https://www.nhi.gov.tw/ch/cp-1296-1c080-3269-1.html"", ""temp_class"": ""temp-red""}], ""active_count"": 0, ""license_no"": """", ""highest_title"": ""尚未出現""}","{""code"": ""foreign_review_tw_pending"", ""label"": ""⏳ 國外審查中 ｜ 台灣未送件"", ""badge_class"": ""badge-gap-warning"", ""desc"": ""國外 EMA / FDA 審查進行中，台灣尚未有公開申請紀錄""}",[],"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Denecimig"", ""summary"": ""Prophylaxis of bleeding episodes in patients with haemophilia A"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04"", ""extras"": {""kind"": ""under_evaluation"", ""snapshot"": true, ""orphan"": false, ""prime"": false, ""accelerated"": false, ""ema_product_no"": ""EMEA/H/C/006344""}}]"
Denosumab,True,,,Treatment of adult patients with osteoporosis or bone loss,,EU-EMA,2026-08-04,foreign_review_tw_pending,⏳ 國外審查中 ｜ 台灣未送件,"{""stages"": [{""id"": ""foreign-1"", ""reached"": true, ""label"": ""實證文獻"", ""title"": ""臨床實證已登錄"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/?term=Denosumab+AND+(Phase+3+OR+%22Phase+III%22+OR+%22clinical+trial%22)+AND+(%22last+1+years%22%5BPDat%5D)"", ""temp_class"": ""temp-blue""}, {""id"": ""foreign-2"", ""reached"": true, ""label"": ""國外審查"", ""title"": ""EMA 審查中"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""temp_class"": ""temp-amber""}, {""id"": ""foreign-3"", ""reached"": false, ""label"": ""國外核准"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov/drugs/development-approval-process-drugs/novel-drug-approvals-fda"", ""temp_class"": ""temp-red""}], ""active_count"": 2, ""highest_title"": ""EMA 審查中""}","{""stages"": [{""id"": ""tw-1"", ""reached"": false, ""label"": ""台灣審查"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/siteSearch.aspx?q=Denosumab"", ""temp_class"": ""temp-blue""}, {""id"": ""tw-2"", ""reached"": false, ""label"": ""取得藥證"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712"", ""temp_class"": ""temp-teal""}, {""id"": ""tw-3"", ""reached"": false, ""label"": ""核准健保給付"", ""title"": ""尚未出現"", ""url"": ""https://www.nhi.gov.tw/ch/cp-1296-1c080-3269-1.html"", ""temp_class"": ""temp-red""}], ""active_count"": 0, ""license_no"": """", ""highest_title"": ""尚未出現""}","{""code"": ""foreign_review_tw_pending"", ""label"": ""⏳ 國外審查中 ｜ 台灣未送件"", ""badge_class"": ""badge-gap-warning"", ""desc"": ""國外 EMA / FDA 審查進行中，台灣尚未有公開申請紀錄""}",[],"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Denosumab"", ""summary"": ""Treatment of adult patients with osteoporosis or bone loss"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04"", ""extras"": {""kind"": ""under_evaluation"", ""snapshot"": true, ""orphan"": false, ""prime"": false, ""accelerated"": false, ""ema_product_no"": ""EMEA/H/C/006710""}}]"
Deucrictibant,True,,,Treatment of acute attacks of hereditary angioedema (HAE) in adult and paediatric patients 12 years of age and older,孤兒藥,EU-EMA,2026-08-04,foreign_review_tw_pending,⏳ 國外審查中 ｜ 台灣未送件,"{""stages"": [{""id"": ""foreign-1"", ""reached"": true, ""label"": ""實證文獻"", ""title"": ""臨床實證已登錄"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/?term=Deucrictibant+AND+(Phase+3+OR+%22Phase+III%22+OR+%22clinical+trial%22)+AND+(%22last+1+years%22%5BPDat%5D)"", ""temp_class"": ""temp-blue""}, {""id"": ""foreign-2"", ""reached"": true, ""label"": ""國外審查"", ""title"": ""孤兒藥"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""temp_class"": ""temp-amber""}, {""id"": ""foreign-3"", ""reached"": false, ""label"": ""國外核准"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov/drugs/development-approval-process-drugs/novel-drug-approvals-fda"", ""temp_class"": ""temp-red""}], ""active_count"": 2, ""highest_title"": ""孤兒藥""}","{""stages"": [{""id"": ""tw-1"", ""reached"": false, ""label"": ""台灣審查"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/siteSearch.aspx?q=Deucrictibant"", ""temp_class"": ""temp-blue""}, {""id"": ""tw-2"", ""reached"": false, ""label"": ""取得藥證"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712"", ""temp_class"": ""temp-teal""}, {""id"": ""tw-3"", ""reached"": false, ""label"": ""核准健保給付"", ""title"": ""尚未出現"", ""url"": ""https://www.nhi.gov.tw/ch/cp-1296-1c080-3269-1.html"", ""temp_class"": ""temp-red""}], ""active_count"": 0, ""license_no"": """", ""highest_title"": ""尚未出現""}","{""code"": ""foreign_review_tw_pending"", ""label"": ""⏳ 國外審查中 ｜ 台灣未送件"", ""badge_class"": ""badge-gap-warning"", ""desc"": ""國外 EMA / FDA 審查進行中，台灣尚未有公開申請紀錄""}",[],"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Deucrictibant"", ""summary"": ""Treatment of acute attacks of hereditary angioedema (HAE) in adult and paediatric patients 12 years of age and older"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04"", ""extras"": {""kind"": ""under_evaluation"", ""snapshot"": true, ""orphan"": true, ""prime"": false, ""accelerated"": false, ""ema_product_no"": ""EMEA/H/C/006919""}}]"
Deuruxolitinib,True,,,Treatment of severe alopecia areata in adults,,EU-EMA,2026-08-04,foreign_review_tw_pending,⏳ 國外審查中 ｜ 台灣未送件,"{""stages"": [{""id"": ""foreign-1"", ""reached"": true, ""label"": ""實證文獻"", ""title"": ""臨床實證已登錄"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/?term=Deuruxolitinib+AND+(Phase+3+OR+%22Phase+III%22+OR+%22clinical+trial%22)+AND+(%22last+1+years%22%5BPDat%5D)"", ""temp_class"": ""temp-blue""}, {""id"": ""foreign-2"", ""reached"": true, ""label"": ""國外審查"", ""title"": ""EMA 審查中"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""temp_class"": ""temp-amber""}, {""id"": ""foreign-3"", ""reached"": false, ""label"": ""國外核准"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov/drugs/development-approval-process-drugs/novel-drug-approvals-fda"", ""temp_class"": ""temp-red""}], ""active_count"": 2, ""highest_title"": ""EMA 審查中""}","{""stages"": [{""id"": ""tw-1"", ""reached"": false, ""label"": ""台灣審查"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/siteSearch.aspx?q=Deuruxolitinib"", ""temp_class"": ""temp-blue""}, {""id"": ""tw-2"", ""reached"": false, ""label"": ""取得藥證"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712"", ""temp_class"": ""temp-teal""}, {""id"": ""tw-3"", ""reached"": false, ""label"": ""核准健保給付"", ""title"": ""尚未出現"", ""url"": ""https://www.nhi.gov.tw/ch/cp-1296-1c080-3269-1.html"", ""temp_class"": ""temp-red""}], ""active_count"": 0, ""license_no"": """", ""highest_title"": ""尚未出現""}","{""code"": ""foreign_review_tw_pending"", ""label"": ""⏳ 國外審查中 ｜ 台灣未送件"", ""badge_class"": ""badge-gap-warning"", ""desc"": ""國外 EMA / FDA 審查進行中，台灣尚未有公開申請紀錄""}",[],"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Deuruxolitinib"", ""summary"": ""Treatment of severe alopecia areata in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04"", ""extras"": {""kind"": ""under_evaluation"", ""snapshot"": true, ""orphan"": false, ""prime"": false, ""accelerated"": false, ""ema_product_no"": ""EMEA/H/C/006812""}}]"
Doravirine / Islatravir,True,,,Treatment of HIV-1 infection in adults,,EU-EMA,2026-08-04,foreign_review_tw_pending,⏳ 國外審查中 ｜ 台灣未送件,"{""stages"": [{""id"": ""foreign-1"", ""reached"": true, ""label"": ""實證文獻"", ""title"": ""臨床實證已登錄"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/?term=Doravirine%20/%20Islatravir+AND+(Phase+3+OR+%22Phase+III%22+OR+%22clinical+trial%22)+AND+(%22last+1+years%22%5BPDat%5D)"", ""temp_class"": ""temp-blue""}, {""id"": ""foreign-2"", ""reached"": true, ""label"": ""國外審查"", ""title"": ""EMA 審查中"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""temp_class"": ""temp-amber""}, {""id"": ""foreign-3"", ""reached"": false, ""label"": ""國外核准"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov/drugs/development-approval-process-drugs/novel-drug-approvals-fda"", ""temp_class"": ""temp-red""}], ""active_count"": 2, ""highest_title"": ""EMA 審查中""}","{""stages"": [{""id"": ""tw-1"", ""reached"": false, ""label"": ""台灣審查"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/siteSearch.aspx?q=Doravirine%20/%20Islatravir"", ""temp_class"": ""temp-blue""}, {""id"": ""tw-2"", ""reached"": false, ""label"": ""取得藥證"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712"", ""temp_class"": ""temp-teal""}, {""id"": ""tw-3"", ""reached"": false, ""label"": ""核准健保給付"", ""title"": ""尚未出現"", ""url"": ""https://www.nhi.gov.tw/ch/cp-1296-1c080-3269-1.html"", ""temp_class"": ""temp-red""}], ""active_count"": 0, ""license_no"": """", ""highest_title"": ""尚未出現""}","{""code"": ""foreign_review_tw_pending"", ""label"": ""⏳ 國外審查中 ｜ 台灣未送件"", ""badge_class"": ""badge-gap-warning"", ""desc"": ""國外 EMA / FDA 審查進行中，台灣尚未有公開申請紀錄""}",[],"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Doravirine / Islatravir"", ""summary"": ""Treatment of HIV-1 infection in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04"", ""extras"": {""kind"": ""under_evaluation"", ""snapshot"": true, ""orphan"": false, ""prime"": false, ""accelerated"": false, ""ema_product_no"": ""EMEA/H/C/006642""}}]"
Emapalumab,True,,,Treatment of acute or recurrent secondary haemophagocytic lymphohistiocytosis (sHLH) in adult and paediatric patients (6 months and older),孤兒藥,EU-EMA,2026-08-04,foreign_review_tw_pending,⏳ 國外審查中 ｜ 台灣未送件,"{""stages"": [{""id"": ""foreign-1"", ""reached"": true, ""label"": ""實證文獻"", ""title"": ""臨床實證已登錄"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/?term=Emapalumab+AND+(Phase+3+OR+%22Phase+III%22+OR+%22clinical+trial%22)+AND+(%22last+1+years%22%5BPDat%5D)"", ""temp_class"": ""temp-blue""}, {""id"": ""foreign-2"", ""reached"": true, ""label"": ""國外審查"", ""title"": ""孤兒藥"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""temp_class"": ""temp-amber""}, {""id"": ""foreign-3"", ""reached"": false, ""label"": ""國外核准"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov/drugs/development-approval-process-drugs/novel-drug-approvals-fda"", ""temp_class"": ""temp-red""}], ""active_count"": 2, ""highest_title"": ""孤兒藥""}","{""stages"": [{""id"": ""tw-1"", ""reached"": false, ""label"": ""台灣審查"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/siteSearch.aspx?q=Emapalumab"", ""temp_class"": ""temp-blue""}, {""id"": ""tw-2"", ""reached"": false, ""label"": ""取得藥證"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712"", ""temp_class"": ""temp-teal""}, {""id"": ""tw-3"", ""reached"": false, ""label"": ""核准健保給付"", ""title"": ""尚未出現"", ""url"": ""https://www.nhi.gov.tw/ch/cp-1296-1c080-3269-1.html"", ""temp_class"": ""temp-red""}], ""active_count"": 0, ""license_no"": """", ""highest_title"": ""尚未出現""}","{""code"": ""foreign_review_tw_pending"", ""label"": ""⏳ 國外審查中 ｜ 台灣未送件"", ""badge_class"": ""badge-gap-warning"", ""desc"": ""國外 EMA / FDA 審查進行中，台灣尚未有公開申請紀錄""}",[],"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Emapalumab"", ""summary"": ""Treatment of acute or recurrent secondary haemophagocytic lymphohistiocytosis (sHLH) in adult and paediatric patients (6 months and older)"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04"", ""extras"": {""kind"": ""under_evaluation"", ""snapshot"": true, ""orphan"": true, ""prime"": false, ""accelerated"": false, ""ema_product_no"": ""EMEA/H/C/006790""}}]"
Enlicitide,True,,,Indicated in adults with primary hypercholesterolaemia or mixed dyslipidaemia,,EU-EMA,2026-08-04,foreign_review_tw_pending,⏳ 國外審查中 ｜ 台灣未送件,"{""stages"": [{""id"": ""foreign-1"", ""reached"": true, ""label"": ""實證文獻"", ""title"": ""臨床實證已登錄"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/?term=Enlicitide+AND+(Phase+3+OR+%22Phase+III%22+OR+%22clinical+trial%22)+AND+(%22last+1+years%22%5BPDat%5D)"", ""temp_class"": ""temp-blue""}, {""id"": ""foreign-2"", ""reached"": true, ""label"": ""國外審查"", ""title"": ""EMA 審查中"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""temp_class"": ""temp-amber""}, {""id"": ""foreign-3"", ""reached"": false, ""label"": ""國外核准"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov/drugs/development-approval-process-drugs/novel-drug-approvals-fda"", ""temp_class"": ""temp-red""}], ""active_count"": 2, ""highest_title"": ""EMA 審查中""}","{""stages"": [{""id"": ""tw-1"", ""reached"": false, ""label"": ""台灣審查"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/siteSearch.aspx?q=Enlicitide"", ""temp_class"": ""temp-blue""}, {""id"": ""tw-2"", ""reached"": false, ""label"": ""取得藥證"", ""title"": ""尚未出現"", ""url"": ""https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712"", ""temp_class"": ""temp-teal""}, {""id"": ""tw-3"", ""reached"": false, ""label"": ""核准健保給付"", ""title"": ""尚未出現"", ""url"": ""https://www.nhi.gov.tw/ch/cp-1296-1c080-3269-1.html"", ""temp_class"": ""temp-red""}], ""active_count"": 0, ""license_no"": """", ""highest_title"": ""尚未出現""}","{""code"": ""foreign_review_tw_pending"", ""label"": ""⏳ 國外審查中 ｜ 台灣未送件"", ""badge_class"": ""badge-gap-warning"", ""desc"": ""國外 EMA / FDA 審查進行中，台灣尚未有公開申請紀錄""}",[],"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Enlicitide"", ""summary"": ""Indicated in adults with primary hypercholesterolaemia or mixed dyslipidaemia"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04"", ""extras"": {""kind"": ""under_evaluation"", ""snapshot"": true, ""orphan"": false, ""prime"": false, ""accelerated"": false, ""ema_product_no"": ""EMEA/H/C/006815""}}]"
