drug_ingredient,has_inn,buzz_count,source_regions,company,trend_tags,flags,articles_json,latest_date
Filgrastim,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Filgrastim"", ""summary"": ""Treatment of neutropenia in adults and children"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Fondaparinux sodium,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Fondaparinux sodium"", ""summary"": ""Prevention of venous thromboembolic events (VTE), treatment of deep vein thrombosis (DVT), treatment of pulmonary embolism, treatment of unstable angina and myocardial infarction in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Gadoquatrane,True,1,EU-EMA,BAYER HEALTHCARE,📈 新進觀察標的,臨床 三期,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Gadoquatrane"", ""summary"": ""For contrast enhancement in magnetic resonance imaging (MRI) used for adults and paediatric patients of all ages."", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Garetosmab,True,1,EU-EMA,,📈 新進觀察標的,孤兒藥,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Garetosmab"", ""summary"": ""Treatment of adult patients with fibrodysplasia ossificans progressiva (FOP)"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Gefurulimab,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Gefurulimab"", ""summary"": ""Treatment of adult patients with generalised myasthemia gravis (gMG)"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Glepaglutide,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Glepaglutide"", ""summary"": ""Treatment of adults with Short Bowel Syndrome"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Hexaminolevulinate,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Hexaminolevulinate"", ""summary"": ""Treatment of adult patients with histologically confirmed cervical high-grade squamous intraepithelial lesions (HSIL)"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Human IgG1 monoclonal antibody against insulin like growth factor-1 receptor,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Human IgG1 monoclonal antibody against insulin like growth factor-1 receptor"", ""summary"": ""Treatment of thyroid eye disease (TED) in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Ianalumab,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Ianalumab"", ""summary"": ""Treatment of Sjögren’s disease in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Influenza mRNA vaccine,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Influenza mRNA vaccine"", ""summary"": ""Immunisation for the prevention of influenza disease in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Insulin aspart,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Insulin aspart"", ""summary"": ""Treatment of diabetes mellitus from 1 year of age"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Japanese Encephalitis Chimeric Vaccine Substipharm,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Japanese Encephalitis Chimeric Vaccine Substipharm"", ""summary"": ""Immunisation against Japanese encephalitis in adults, adolescents, children and infants aged 9 months and older"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Lemborexant,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Lemborexant"", ""summary"": ""Treatment of adult patients with insomnia"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Lunsotogene parvec,True,1,EU-EMA,,📈 新進觀察標的,孤兒藥 / 加速審查,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Lunsotogene parvec"", ""summary"": ""Treatment of biallelic OTOF variant-associated hearing loss in adults and children"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Mezigdomide,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Mezigdomide"", ""summary"": ""Treatment of relapsed or refractory multiple myeloma in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Molgramostim,True,1,EU-EMA,,📈 新進觀察標的,孤兒藥,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Molgramostim"", ""summary"": ""Treatment of pulmonary alveolar proteinosis in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Navepegritide,True,1,EU-EMA,,📈 新進觀察標的,孤兒藥,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Navepegritide"", ""summary"": ""Treatment of achondroplasia in children"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Norucholic acid,True,1,EU-EMA,,📈 新進觀察標的,孤兒藥,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Norucholic acid"", ""summary"": ""Treatment of primary sclerosing cholangitis (PSC) in adults."", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Olanzapine,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Olanzapine"", ""summary"": ""Treatment of schizophrenia in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Omalizumab,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Omalizumab"", ""summary"": ""Treatment of asthma, chronic rhinosinusitis with nasal polyps (CRSwNP) and chronic spontaneous urticaria (CSU)"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Orforglipron,True,1,EU-EMA,ELI LILLY AND CO,📈 新進觀察標的,臨床 四期,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Orforglipron"", ""summary"": ""Treatment of obesity and type 2 diabetes mellitus in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Pertuzumab,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Pertuzumab"", ""summary"": ""Treatment of breast cancer in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Pimicotinib,True,1,EU-EMA,,📈 新進觀察標的,孤兒藥 / PRIME,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Pimicotinib"", ""summary"": ""Treatment of tenosynovial giant cell tumour in adults and adolescents from 12 years of age"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Ponatinib,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Ponatinib"", ""summary"": ""Treatment of chronic myeloid leukaemia (CML) or Philadelphia chromosome positive acute lymphoblastic leukaemia (Ph+ ALL) in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Povorcitinib,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Povorcitinib"", ""summary"": ""Treatment of active moderate to severe hidradenitis suppurativa (acne inversa) in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Rabies vaccine for human use prepared in cell cultures,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Rabies vaccine for human use prepared in cell cultures"", ""summary"": ""Pre-exposure and post-exposure prophylaxis against rabies in all age groups"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Regadenoson,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Regadenoson"", ""summary"": ""Pharmacological stress agent for myocardial perfusion imaging (MPI) and measurement of fractional flow reserve (FFR) in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Relacorilant,True,1,EU-EMA,CORCEPT THERAP,📈 新進觀察標的,孤兒藥 / 臨床 三期,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Relacorilant"", ""summary"": ""Treatment of adult patients with platinum-resistant epithelial ovarian, fallopian tube, or primary peritoneal cancer"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Rezvilutamide,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Rezvilutamide"", ""summary"": ""Treatment of high-volume metastatic hormone-sensitive prostate cancer (mHSPC) in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Ruxolitinib,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Ruxolitinib"", ""summary"": ""Treatment of myelofibrosis (MF) in adults, treatment of polycythaemia vera (PV) in adults and treatment of Graft versus host disease (GvHD) in adults and children"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Semaglutide,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Semaglutide"", ""summary"": ""Treatment of type 2 diabetes in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Senaparib,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Senaparib"", ""summary"": ""Maintenance treatment of advanced epithelial high-grade ovarian, fallopian tube or primary peritoneal cancer"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Sintilimab,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Sintilimab"", ""summary"": ""Treatment of non-squamous non-small cell lung cancer in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Sonrotoclax,True,1,EU-EMA,,📈 新進觀察標的,臨床 三期,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Sonrotoclax"", ""summary"": ""Treatment of adult patients with relapsed or refractory mantle cell lymphoma (MCL)"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Taletrectinib,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Taletrectinib"", ""summary"": ""Treatment of adults with ROS1 positive advanced non-small cell lung cancer"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Tanruprubart,True,1,EU-EMA,,📈 新進觀察標的,孤兒藥,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Tanruprubart"", ""summary"": ""Treatment of Guillain-Barré syndrome in adults and children"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Temozolomide,True,1,EU-EMA,,📈 新進觀察標的,孤兒藥,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Temozolomide"", ""summary"": ""Treatment of adults with glioblastoma multiforme and children with malignant glioma"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Tofacitinib,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Tofacitinib"", ""summary"": ""Treatment of rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, and ulcerative colitis in adults, and juvenile idiopathic arthritis (JIA) in children from 2 years old"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Tozorakimab,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Tozorakimab"", ""summary"": ""Treatment for chronic obstructive pulmonary disease (COPD) in adult patients"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Vedolizumab,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Vedolizumab"", ""summary"": ""Treatment of Ulcerative Colitis, Crohn’s Disease and pouchitis in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Veligrotug,True,1,EU-EMA,VIRIDIAN THERAPEUTICS INC,📈 新進觀察標的,臨床 三期,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Veligrotug"", ""summary"": ""Treatment of moderate to severe thyroid eye disease in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Venglustat,True,1,EU-EMA,,📈 新進觀察標的,孤兒藥,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Venglustat"", ""summary"": ""Treatment of Type 3 Gaucher disease (GD3) in adults and children"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Zamtocabtagene autoleucel,True,1,EU-EMA,,📈 新進觀察標的,孤兒藥 / PRIME,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Zamtocabtagene autoleucel"", ""summary"": ""Treatment of adults with large B-cell lymphoma"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
Zopapogene imadenovec,True,1,EU-EMA,,📈 新進觀察標的,孤兒藥,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Zopapogene imadenovec"", ""summary"": ""Treatment of respiratory papillomatosis in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-august-2026_en.xlsx"", ""date"": ""2026-08-04""}]",2026-08-04
